old_url,new_path,decision,redirect_execution,old_document
https://yttop.co.kr/21/?page=4,/cases/,merge_pagination_into_static_index,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-f508b74f7e80.md
https://yttop.co.kr/21/?page=5,/cases/,merge_pagination_into_static_index,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-7128d92ff68f.md
https://yttop.co.kr/21/?page=6,/cases/,merge_pagination_into_static_index,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-a7d417881fe3.md
https://yttop.co.kr/21/?page=7,/cases/,merge_pagination_into_static_index,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-84df4c65b9fe.md
https://yttop.co.kr/21/?page=8,/cases/,merge_pagination_into_static_index,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-b5fc3d3a2a50.md
https://yttop.co.kr/21/?page=9,/cases/,merge_pagination_into_static_index,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-4266166451c7.md
https://yttop.co.kr/44/?bmode=view&idx=172420973&t=board,/notices/screening-evaluation/,map_after_target_approved,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-8a81def8eb2e.md
https://yttop.co.kr/44/?bmode=view&idx=172420773&t=board,/notices/drug-certificate/,map_after_target_approved,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-17e441447746.md
https://yttop.co.kr/44/?bmode=view&idx=166166318&t=board,/notices/pathfast/,map_after_target_approved,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-3aadf659fd5d.md
https://yttop.co.kr/44/?bmode=view&idx=165787604&t=board,/notices/closure-2025-06-24/,map_after_target_approved,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-bcfbbcb79756.md
https://yttop.co.kr/44/?bmode=view&idx=165253784&t=board,/notices/mammography-equipment/,map_after_target_approved,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-b87a0477e07a.md
https://yttop.co.kr/?bmode=view&idx=165407798&t=board,/cases/case-165407798/,map_after_target_approved,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-aaac8161c759.md
https://yttop.co.kr/?bmode=view&idx=165396339&t=board,/cases/case-165396339/,map_after_target_approved,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-37e3fb02f56a.md
https://yttop.co.kr/?bmode=view&idx=165396249&t=board,/cases/case-165396249/,map_after_target_approved,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-376f67a3f0f5.md
https://yttop.co.kr/?bmode=view&idx=165396187&t=board,/cases/case-165396187/,map_after_target_approved,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-bf4b8ce9e595.md
https://yttop.co.kr/?bmode=view&idx=165338735&t=board,/cases/case-165338735/,map_after_target_approved,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-f574e4c4e48c.md
https://yttop.co.kr/?bmode=view&idx=165338662&t=board,/cases/case-165338662/,map_after_target_approved,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-694dc53221f8.md
https://yttop.co.kr/?bmode=view&idx=165259921&t=board,/cases/case-165259921/,map_after_target_approved,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-2d758f29f71a.md
https://yttop.co.kr/?bmode=view&idx=165259783&t=board,/cases/case-165259783/,map_after_target_approved,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-bdd6d9213bfc.md
https://yttop.co.kr/?bmode=view&idx=165259713&t=board,/cases/case-165259713/,map_after_target_approved,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-1fe0d4fd8d73.md
https://yttop.co.kr/?bmode=view&idx=165204038&t=board,/cases/case-165204038/,map_after_target_approved,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-12957f0851d1.md
https://yttop.co.kr/?bmode=view&idx=165203941&t=board,/cases/case-165203941/,map_after_target_approved,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-c1311def4946.md
https://yttop.co.kr/?bmode=view&idx=165203625&t=board,/cases/case-165203625/,map_after_target_approved,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-ef112d22667a.md
https://yttop.co.kr/?bmode=view&idx=165151140&t=board,/cases/case-165151140/,map_after_target_approved,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-59e9a2eeb51b.md
https://yttop.co.kr/?bmode=view&idx=165150795&t=board,/cases/case-165150795/,map_after_target_approved,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-bfc164381f03.md
https://yttop.co.kr/?bmode=view&idx=165150549&t=board,/cases/case-165150549/,map_after_target_approved,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-f6d0a5cf799f.md
https://yttop.co.kr/?bmode=view&idx=165150420&t=board,/cases/case-165150420/,map_after_target_approved,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-b30dbea1075f.md
https://yttop.co.kr/?bmode=view&idx=164673242&t=board,/cases/case-164673242/,map_after_target_approved,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-24a4031c98d6.md
https://yttop.co.kr/?bmode=view&idx=164673233&t=board,/cases/case-164673233/,map_after_target_approved,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-e17e6de3a6ba.md
https://yttop.co.kr/?bmode=view&idx=164673218&t=board,/cases/case-164673218/,map_after_target_approved,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-0c04f7948d0c.md
https://yttop.co.kr/?bmode=view&idx=164673206&t=board,/cases/case-164673206/,map_after_target_approved,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-4c47ea4c4176.md
https://yttop.co.kr/?bmode=view&idx=164673131&t=board,/cases/case-164673131/,map_after_target_approved,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-dec9ba196bc0.md
https://yttop.co.kr/?bmode=view&idx=164673116&t=board,/cases/case-164673116/,map_after_target_approved,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-2657b99ef404.md
https://yttop.co.kr/home/,/,map_after_target_approved,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-d96c0364b91b.md
https://yttop.co.kr/home/?bmode=view&idx=165407798&t=board,/cases/case-165407798/,map_after_target_approved,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-efc0a90d97df.md
https://yttop.co.kr/home/?bmode=view&idx=165396339&t=board,/cases/case-165396339/,map_after_target_approved,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-ed856110abf0.md
